,No.,Is retweet?,Tweet ID,Post Date,User Display Name,User ID,User Info,User Location,Tweet Content,Number of Quotes,Number of Replies,Number of Likes,Number of Retweets,Raw link 1,Solved link 1,Raw link 2,Solved link 2,Raw link 3,Solved link 3,Raw link 4,Solved link 4,Raw link 5,Solved link 5,proccessed_tweet
0,1,Yes,1281259826576850945,Thu Jul 09 16:12:01 +0000 2020,Cynastic,JohnGeoffrey17,"I'm a sarcastic cynic (like Twitter needs another one of those!), but I try to be nice about it.",,"I wrote this in May, describing how Covid-19 was now endemic in the US.

My guess was 15,000 to 20,000 Americans would get sick and 500 to 1,000 Americans would die every day until we got an effective vaccine.

I was wrong.

Way too optimistic.

https://t.co/OXy6Y199eX",0,0,0,0,,,,,,,,,,,"i wrote this in may, describing how covid-19 was now endemic in the us. my guess was 15,000 to 20,000 americans would get sick and 500 to 1,000 americans would die every day until we got an effective vaccines i was wrong. way too optimistic."
1,2,Yes,1281259839612686336,Thu Jul 09 16:12:05 +0000 2020,Not Sorry for Sin,MorganEilish,26. Cosplayer. Fashion Designer. I am a bi disaster and all my friends are hot. She/Her. http://instagram.com/morganeilish/ Header and pic by @helafinephoto,"Toronto, Ontario",Infection control epidemiologist predicts the Canada-U.S. border will only open if a COVID-19 vaccine is created or if enough people have been infected with the virus and build herd immunity. https://t.co/cpVc7kEjuf,0,0,0,0,,,,,,,,,,,infection control epidemiologist predicts the canada-u.s. border will only open if a covid-19 vaccines is created or if enough people have been infected with the virus and build herd immunity.
2,3,Yes,1281259847154126851,Thu Jul 09 16:12:06 +0000 2020,Baby Fury,OliverNope,"tweet what i want, i’m good.","New York, NY",Folks get on here talking about covid is a hoax so the govt can give out vaccines to implant chips in us. meanwhile they got like three alexa dots in the house.,0,0,0,0,,,,,,,,,,,folks get on here talking about covid is a hoax so the govt can give out vaccines to implant chips in us. meanwhile they got like three alexa dots in the house.
3,4,No,1281259848315875333,Thu Jul 09 16:12:07 +0000 2020,"ML, MD",super_mario_21,"A real life (resident) Dr. Mario, lover of the steelers/pens/indians/cavs/buckeyes, pro-mask Republican","Ohio, USA","@ncpack2010 yeah, america has never really had cultural solidarity since 9/11 and is far more individualistic. not sure that's bad, certainly 99% of the time i don't think it is a problem. it's still a TBD with Covid. If we have a vaccine and widespread theraputics (as it seems it is)...",0,0,0,0,https://t.co/ra7qvGKORz,https://twitter.com/i/web/status/1281259848315875333,,,,,,,,,"yeah, america has never really had cultural solidarity since 9/11 and is far more individualistic. not sure that's bad, ceainly 99% of the time i don't think it is a problem. it's still a tbd with covid. if we have a vaccines and widespread theraputics (as it seems it is)..."
4,5,No,1281259865193820161,Thu Jul 09 16:12:11 +0000 2020,Sydney Carroll,42Sydney,stick with me and you’ll never go hungry again | she/her,Clemson '18,"Once there’s a covid vaccine, I will be bringing back the phenomenon of drinking songs.",0,0,0,0,,,,,,,,,,,once theres a covid vaccines i will be bringing back the phenomenon of drinking songs.
5,6,Yes,1281259872332513281,Thu Jul 09 16:12:12 +0000 2020,Nkululeko,nkust76,Deep/Soulful House Lover,"Gauteng,Johannesburg",COVID-19 vaccine could be available in Africa in the first quarter of 2021 https://t.co/1wmk1xYHmk https://t.co/7y9So2pmIr,0,0,0,0,https://t.co/1wmk1xYHmk,http://dlvr.it/RbHJ1T,,,,,,,,,covid-19 vaccines could be available in africa in the first quaer of 2021
6,7,Yes,1281259879903027201,Thu Jul 09 16:12:14 +0000 2020,Dog will Hunt for Answers 😛 I-F-B,dave_dav05,"🇺🇸🇳🇿🇮🇱🇨🇦🇬🇧❤ ♏ Identifying: (Canine American) Father,Grandfather of 2 litters.katethesnakebrown AllBusinessMatter $$$ growapair $$$ KAG  $$$ MAGA $$$ 1A  2A",Dog House 😛 Pacific NW,"NEXT BIG MEDIA HIT AGAINST BIG PHARMA

Brazil's President Jair Bolsonaro says he's taking hydroxychloroquine for his Coronavirus.

He takes his 3rd dose and he is feeling very well.

Hydroxychloroquine works. 
No vaccination is required. https://t.co/5qeBzooLDH",0,0,0,0,,,,,,,,,,,next big media hit against big pharma brazil's president jair bolsonaro says he's taking hydroxychloroquine for his coronavirus. he takes his 3rd dose and he is feeling very well. hydroxychloroquine works. no vaccines is required.
7,8,Yes,1281259914082607109,Thu Jul 09 16:12:22 +0000 2020,Niki,NikiNGJJQ,"Niki  loves Queen, the moon, tv-shows, movie magic, history & stories",,"In quarantine, @Jaboukie has searched for a coronavirus vaccine, exposed how the rich quarantine, and finished all of Netflix: https://t.co/Uvsvw4xraE",0,0,0,0,,,,,,,,,,,"in quarantine, has searched for a coronavirus vaccines exposed how the rich quarantine, and finished all of netflix:"
8,9,No,1281259931388334090,Thu Jul 09 16:12:26 +0000 2020,CovidCallOut,Covid_CallOut,Covid Call Out. |. Calling out the ‘sEConD wAvErS’ the ‘wEEkeNd lAgGerS’ and the ‘gIvE iT 2 wEEkeRs’.  |. Will always back my argument with facts,Riding the 2nd Wave,"@BlatchJason @Twelve_MK @DHSCgovuk @PHE_uk WOW. You keep digging..

SARS/MERS are both a coronavirus It is literally in the name:

Severe acute respiratory syndrome-related coronavirus’

Middle East respiratory syndrome-related coronavirus

No vaccine no. But as I said where is SARS?? Or MERS?",0,0,0,0,https://t.co/EtADhyl14d,https://twitter.com/i/web/status/1281259931388334090,,,,,,,,,wow. you keep digging.. sars/mers are both a coronavirus it is literally in the name: severe acute respiratory syndrome-related coronavirus middle east respiratory syndrome-related coronavirus no vaccines no. but as i said where is sars?? or mers?
9,10,Yes,1281259952695320576,Thu Jul 09 16:12:32 +0000 2020,Rick Adcock,spock4444,"Retired HVAC contractor, Vietnam Vet, Believer in Justice, Truth, Freedom and Love. Lover of all animals, they need us and we need them, Progressive, Green",Excelsior Springs Mo.,"Despite our collective fatigue from the coronavirus, the only way to save lives and revive the economy is to stay the course with tactics such as physical distancing and wearing masks. Until a vaccine is developed, we must be extremely careful in our plans to reopen.",0,0,0,0,,,,,,,,,,,"despite our collective fatigue from the coronavirus, the only way to save lives and revive the economy is to stay the course with tactics such as physical distancing and wearing masks. until a vaccines is developed, we must be extremely careful in our plans to reopen."
